key,source,target
TLStringSkillDesc/TEXT_Item_BluePrint_chest_fabric_aa_t1_nomal_003_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Top]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>162^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>144^<c=@Contract_money>

Max Health ^<c=@Contract_money>545^<c=@Contract_money>
Mana Regen ^<c=@Contract_money>52.5^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_chest_fabric_aa_t1_nomal_004_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Top]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>170^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>136^<c=@Contract_money>

Critical Hit Chance ^<c=@Contract_money>46^<c=@Contract_money>
Hit Chance ^<c=@Contract_money>40^<c=@Contract_money>
Melee Evasion ^<c=@Contract_money>54^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_chest_fabric_aa_t2_set_001_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Top]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>162^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>144^<c=@Contract_money>

Wisdom ^<c=@Contract_money>4^<c=@Contract_money>
Weaken Chance ^<c=@Contract_money>78^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_chest_fabric_aaa_t1_nomal_001_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Top]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>247^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>221^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_hands_fabric_b_t1_nomal_001_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Gloves]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>27^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>27^<c=@Contract_money>

Dexterity ^<c=@Contract_money>1^<c=@Contract_money>
Critical Hit Chance ^<c=@Contract_money>35^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_hands_fabric_b_t1_nomal_002_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Gloves]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>28^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>26^<c=@Contract_money>

Hit Chance ^<c=@Contract_money>70^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_hands_fabric_b_t1_nomal_003_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Gloves]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>28^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>26^<c=@Contract_money>

Wisdom ^<c=@Contract_money>1^<c=@Contract_money>
Weaken Chance ^<c=@Contract_money>43^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_hands_fabric_b_t1_nomal_004_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Gloves]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>30^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>24^<c=@Contract_money>

Health Regen ^<c=@Contract_money>30^<c=@Contract_money>
Max Mana ^<c=@Contract_money>110^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_hands_fabric_b_t2_set_001_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Gloves]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>28^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>26^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_hands_fabric_b_t2_set_002_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Gloves]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>28^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>26^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_hands_fabric_a_t1_nomal_001_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Gloves]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>81^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>81^<c=@Contract_money>

Critical Hit Chance ^<c=@Contract_money>70^<c=@Contract_money>
Weaken Chance ^<c=@Contract_money>37^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_hands_fabric_a_t1_nomal_002_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Gloves]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>86^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>76^<c=@Contract_money>

Range +^<c=@Contract_money>3%^<c=@Contract_money>
Ranged Evasion ^<c=@Contract_money>50^<c=@Contract_money>
Max Health ^<c=@Contract_money>110^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_hands_fabric_a_t1_nomal_003_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Gloves]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>86^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>76^<c=@Contract_money>

Attack Speed ^<c=@Contract_money>2.6%^<c=@Contract_money>
Wisdom ^<c=@Contract_money>1^<c=@Contract_money>
Mana Regen ^<c=@Contract_money>7.5^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_hands_fabric_a_t2_set_001_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Gloves]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>90^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>72^<c=@Contract_money>

Sleep Chance ^<c=@Contract_money>75^<c=@Contract_money>
Strength ^<c=@Contract_money>2^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_hands_fabric_a_t2_set_002_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Gloves]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>90^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>72^<c=@Contract_money>

Perception ^<c=@Contract_money>3^<c=@Contract_money>
Hit Chance ^<c=@Contract_money>40^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_hands_fabric_a_t2_set_003_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Gloves]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>86^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>76^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_hands_fabric_a_t2_set_004_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Gloves]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>86^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>76^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_hands_fabric_aa_t3_boss_001_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Gloves]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>142^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>128^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_hands_fabric_aa_t3_boss_002_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Gloves]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>142^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>128^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_hands_fabric_aa_t1_nomal_005_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Gloves]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>142^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>128^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_hands_fabric_aa_t1_nomal_001_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Gloves]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>135^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>135^<c=@Contract_money>

Wisdom ^<c=@Contract_money>2^<c=@Contract_money>
Critical Hit Chance ^<c=@Contract_money>40^<c=@Contract_money>
Range +^<c=@Contract_money>3.3%^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_hands_fabric_aa_t1_nomal_002_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Gloves]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>142^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>128^<c=@Contract_money>

Perception ^<c=@Contract_money>4^<c=@Contract_money>
Mana Cost Efficiency ^<c=@Contract_money>6.3%^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_hands_fabric_aa_t1_nomal_003_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Gloves]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>142^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>128^<c=@Contract_money>

Weaken Chance ^<c=@Contract_money>100^<c=@Contract_money>
Hit Chance ^<c=@Contract_money>63^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_hands_fabric_aa_t1_nomal_004_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Gloves]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>150^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>120^<c=@Contract_money>

Critical Hit Chance ^<c=@Contract_money>60^<c=@Contract_money>
Sleep Chance ^<c=@Contract_money>33^<c=@Contract_money>
Mana Regen ^<c=@Contract_money>19.5^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_hands_fabric_aa_t2_set_001_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Gloves]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>142^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>128^<c=@Contract_money>

Dexterity ^<c=@Contract_money>2^<c=@Contract_money>
Attack Speed ^<c=@Contract_money>2.4%^<c=@Contract_money>
Weaken Chance ^<c=@Contract_money>45^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_hands_fabric_aaa_t1_nomal_001_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Gloves]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>228^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>204^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_legs_fabric_b_t1_nomal_001_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Legs]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>36^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>36^<c=@Contract_money>

Wisdom ^<c=@Contract_money>1^<c=@Contract_money>
Max Health ^<c=@Contract_money>260^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_legs_fabric_b_t1_nomal_002_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Legs]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>38^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>34^<c=@Contract_money>

Health Regen ^<c=@Contract_money>26.25^<c=@Contract_money>
Mana Regen ^<c=@Contract_money>15^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_legs_fabric_b_t1_nomal_003_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Legs]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>38^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>34^<c=@Contract_money>

Max Mana ^<c=@Contract_money>525^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_legs_fabric_b_t1_nomal_004_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Legs]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>40^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>32^<c=@Contract_money>

Melee Evasion ^<c=@Contract_money>70^<c=@Contract_money>
Critical Hit Chance ^<c=@Contract_money>20^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_legs_fabric_b_t2_set_001_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Legs]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>38^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>34^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_legs_fabric_b_t2_set_002_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Legs]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>38^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>34^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_legs_fabric_b_t2_set_003_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Legs]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>38^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>34^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_legs_fabric_a_t1_nomal_001_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Legs]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>90^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>90^<c=@Contract_money>

Max Health ^<c=@Contract_money>375^<c=@Contract_money>
Max Mana ^<c=@Contract_money>375^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_legs_fabric_a_t1_nomal_002_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Legs]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>95^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>85^<c=@Contract_money>

Mana Regen ^<c=@Contract_money>60^<c=@Contract_money>
Wisdom ^<c=@Contract_money>1^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_legs_fabric_a_t1_nomal_003_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Legs]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>95^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>85^<c=@Contract_money>

Weaken Chance ^<c=@Contract_money>50^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>40^<c=@Contract_money>
Hit Chance ^<c=@Contract_money>10^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_legs_fabric_a_t2_set_001_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting Cloth Legs]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>100^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>80^<c=@Contract_money>

Melee Evasion ^<c=@Contract_money>120^<c=@Contract_money>
Dexterity ^<c=@Contract_money>2^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_legs_fabric_a_t2_set_002_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Legs]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>100^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>80^<c=@Contract_money>

Max Health ^<c=@Contract_money>185^<c=@Contract_money>
Max Mana ^<c=@Contract_money>185^<c=@Contract_money>
Wisdom ^<c=@Contract_money>1^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_legs_fabric_a_t2_set_003_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Legs]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>95^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>85^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_legs_fabric_a_t2_set_004_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Legs]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>95^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>85^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_legs_fabric_aa_t3_boss_001_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Legs]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>152^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>136^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_legs_fabric_aa_t1_nomal_005_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Legs]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>152^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>136^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_legs_fabric_aa_t1_nomal_001_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Legs]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>144^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>144^<c=@Contract_money>

Wisdom ^<c=@Contract_money>2^<c=@Contract_money>
Mana Cost Efficiency ^<c=@Contract_money>4%^<c=@Contract_money>
Weaken Chance ^<c=@Contract_money>41^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_legs_fabric_aa_t1_nomal_002_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Legs]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>152^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>136^<c=@Contract_money>

Wisdom ^<c=@Contract_money>3^<c=@Contract_money>
Collision Resistance ^<c=@Contract_money>41^<c=@Contract_money>
Damage Reduction ^<c=@Contract_money>3^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_legs_fabric_aa_t1_nomal_003_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Legs]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>152^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>136^<c=@Contract_money>

Max Mana ^<c=@Contract_money>695^<c=@Contract_money>
Critical Hit Chance ^<c=@Contract_money>50^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_legs_fabric_aa_t1_nomal_004_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Legs]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>160^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>128^<c=@Contract_money>

Weaken Chance ^<c=@Contract_money>103^<c=@Contract_money>
Sleep Chance ^<c=@Contract_money>75^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_legs_fabric_aa_t2_set_001_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Legs]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>152^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>136^<c=@Contract_money>

Dexterity ^<c=@Contract_money>3^<c=@Contract_money>
Critical Hit Chance ^<c=@Contract_money>40^<c=@Contract_money>
Weaken Resistance ^<c=@Contract_money>16^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_legs_fabric_aaa_t1_nomal_001_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Legs]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>238^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>212^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_feet_fabric_b_t1_nomal_001_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Shoes]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>27^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>27^<c=@Contract_money>

Wisdom ^<c=@Contract_money>1^<c=@Contract_money>
Ranged Endurance ^<c=@Contract_money>70^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_feet_fabric_b_t1_nomal_002_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Shoes]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>28^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>26^<c=@Contract_money>

Critical Hit Chance ^<c=@Contract_money>70^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_feet_fabric_b_t1_nomal_003_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Shoes]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>28^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>26^<c=@Contract_money>

Hit Chance ^<c=@Contract_money>25^<c=@Contract_money>
Max Health ^<c=@Contract_money>225^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_feet_fabric_b_t1_nomal_004_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Shoes]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>30^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>24^<c=@Contract_money>

Perception ^<c=@Contract_money>1^<c=@Contract_money>
Melee Evasion ^<c=@Contract_money>70^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_feet_fabric_b_t2_set_001_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Shoes]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>28^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>26^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_feet_fabric_b_t2_set_002_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Shoes]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>28^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>26^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_feet_fabric_b_t2_set_003_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Shoes]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>28^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>26^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_feet_fabric_a_t1_nomal_001_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Shoes]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>81^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>81^<c=@Contract_money>

Max Health ^<c=@Contract_money>450^<c=@Contract_money>
Critical Hit Chance ^<c=@Contract_money>40^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_feet_fabric_a_t1_nomal_002_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Shoes]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>86^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>76^<c=@Contract_money>

Perception ^<c=@Contract_money>3^<c=@Contract_money>
Movement Speed ^<c=@Contract_money>2.6%^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_feet_fabric_a_t1_nomal_003_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Shoes]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>86^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>76^<c=@Contract_money>

Wisdom ^<c=@Contract_money>2^<c=@Contract_money>
Weaken Chance ^<c=@Contract_money>25^<c=@Contract_money>
Hit Chance ^<c=@Contract_money>10^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_feet_fabric_a_t2_set_001_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Shoes]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>90^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>72^<c=@Contract_money>

Health Regen ^<c=@Contract_money>45^<c=@Contract_money>
Sleep Chance ^<c=@Contract_money>50^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_feet_fabric_a_t2_set_002_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Shoes]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>90^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>72^<c=@Contract_money>

Wisdom ^<c=@Contract_money>2^<c=@Contract_money>
Mana Regen ^<c=@Contract_money>15^<c=@Contract_money>
Health Regen ^<c=@Contract_money>7.5^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_feet_fabric_a_t2_set_003_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Shoes]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>86^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>76^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_feet_fabric_a_t2_set_004_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Shoes]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>86^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>76^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_feet_fabric_aa_t1_nomal_001_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Shoes]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>135^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>135^<c=@Contract_money>

Perception ^<c=@Contract_money>2^<c=@Contract_money>
Critical Hit Chance ^<c=@Contract_money>40^<c=@Contract_money>
Stamina Regen ^<c=@Contract_money>1.65^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_feet_fabric_aa_t1_nomal_002_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Shoes]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>142^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>128^<c=@Contract_money>

Movement Speed ^<c=@Contract_money>6.6%^<c=@Contract_money>
Melee Evasion ^<c=@Contract_money>86^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_feet_fabric_aa_t1_nomal_003_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Shoes]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>142^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>128^<c=@Contract_money>

Hit Chance ^<c=@Contract_money>80^<c=@Contract_money>
Weaken Chance ^<c=@Contract_money>78^<c=@Contract_money>",
TLStringSkillDesc/TEXT_Item_BluePrint_feet_fabric_aa_t1_nomal_004_BluePrint,"^<c=@SkillTooltipOption>[Armor Crafting: Cloth Shoes]^<c=@SkillTooltipOption>

Melee Defense ^<c=@Contract_money>150^<c=@Contract_money>
Ranged Defense ^<c=@Contract_money>120^<c=@Contract_money>

Perception ^<c=@Contract_money>2^<c=@Contract_money>
Max Mana ^<c=@Contract_money>300^<c=@Contract_money>
Weaken Chance ^<c=@Contract_money>41^<c=@Contract_money>",
